Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
don-frank-red,10053,DON FRANK RED,FOOD,,N,,,,,,,0,4809012601023,,,N,Y,19.5,,,https://lzd-img-global.slatic.net/g/p/fd9a5a34c747d3fd54eaac5fb7e5c95c.png_720x720q80.png
don-frank-strwbrry,10049,DON FRANK STRWBRRY,FOOD,,N,,,,,,,0,4809012601139,,,N,Y,19.5,,,https://img.freepik.com/premium-photo/skillful-strawberry-product-photography-white-background_899449-34012.jpg
don-frank-white,10055,DON FRANK WHITE,FOOD,,N,,,,,,,0,4809012601146,,,N,Y,19.5,,,https://visualeducation.com/wp-content/uploads/2017/05/product-photography-white-background-pack-shot-posterframe.jpg
don-frank-yellow,10054,DON FRANK YELLOW,FOOD,,N,,,,,,,0,4809012601016,,,N,Y,19.5,,,https://p16-oec-common-useast2a.ibyteimg.com/tos-useast2a-i-hyqnpo4tzp-aiso/3fbcf50cc7de4ca0b7e0617929250106~tplv-hyqnpo4tzp-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=maliva&from=1826719393
downy-antibac,10024,DOWNY ANTIBAC,Cleaning/Laundry Supplies,<p>GREEN / KONTRA KULOB</p>,N,,,,,,,0,4902430873703,,,Y,Y,9,11,,"https://static.wixstatic.com/media/720a1c_7b5539ddda3e4b7095e1c211b597d29a~mv2.png/v1/fit/w_500,h_500,q_90/file.png"
eagle-brown-sugar-250g,10319,EAGLE BROWN SUGAR 250G,FOOD,,N,,,,,,,20,4809011529168,,,Y,Y,24,5,,https://lpagencies.co.za/wp-content/uploads/2024/10/Sugar-White-1KG.jpg
eagle-glue-40gm,10314,EAGLE GLUE 40gm,HOME ESSENTIALS,,N,,,,,,,22.5,6928977601256,,,Y,Y,30,12,,https://img.lazcdn.com/g/p/0370c341ac76b3a2ce8f841db31d3df2.jpg_720x720q80.jpg
eagle-refine-sugar-250g,10318,EAGLE REFINE SUGAR 250G,FOOD,,N,,,,,,,23,4809011529151,,,Y,Y,28.98,6,,https://lpagencies.co.za/wp-content/uploads/2024/10/Sugar-White-1KG.jpg
efficascent25,10005,EFFICASCENT25,ESSENTIAL OILS,<p>25ML</p>,N,,,,,,,0,48035156,,,Y,Y,28.5,9,5,https://lzd-img-global.slatic.net/g/p/4d8b4624c22aa83c2e415ae3504c1d55.png_720x720q80.jpg_.webp
efficascent50,10000,EFFICASCENT50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4800011133430,,,Y,Y,53,10,5,https://img.lazcdn.com/g/p/39a5866aea359c893adee1a07ba32bc8.png_720x720q80.png
efficascentx50,10007,EFFICASCENTX50,ESSENTIAL OILS,<p>50ML</p>,N,,,,,,,0,4800011132938,,,Y,Y,90,10,5,https://img.lazcdn.com/g/ff/kf/Sbd7011c1eee8473d98839f9188c7001c3.jpg_720x720q80.jpg
